,lat,lon,final
391,42.35839844,-71.05979919,Massachusetts
392,31.65280151,-106.1560974,Texas
393,47.69430542,-117.4539948,Washington
394,39.71510315,-75.73059845,Delaware
395,40.62530518,-79.63770294,Pennsylvania
396,41.39909363,-81.60739899,Ohio
397,38.9499054,-94.74530029,Kansas
398,47.2375946,-122.3620987,Washington
399,28.05110168,-82.45069885,Florida
400,32.22169495,-110.9264984,Arizona
401,41.83790588,-71.39320374,Rhode Island
402,29.707901,-95.40100098,Texas
403,32.78250122,-96.8207016,Texas
404,34.2124939,-79.82060242,South Carolina
405,43.15179443,-77.58519745,New York
406,36.24729919,-115.2322006,Nevada
407,32.72349548,-97.46250153,Texas
408,33.44839478,-112.0739975,Arizona
409,35.98939514,-79.50469971,North Carolina
410,33.72889709,-86.64849854,Alabama
411,12.15080261,-86.26830292,Departamento de Managua
412,32.94819641,-96.72969818,Texas
413,42.71760559,-93.74970245,Iowa
414,30.03779602,-95.5326004,Texas
415,17.37530518,78.47439575,Telangana
416,41.66400146,-91.54470062,Iowa
417,29.68649292,-81.69529724,Florida
418,33.5756073,-85.13400269,Georgia
419,39.61329651,-105.0166016,Colorado
420,39.4526062,-105.5522003,Colorado
421,42.30960083,-88.98729706,Illinois
422,29.5861969,-98.47650146,Texas
423,40.4730072,-79.94999695,Pennsylvania
424,34.89790344,-88.57939911,Mississippi
425,33.46270752,-111.9856033,Arizona
426,29.68069458,-95.43109894,Texas
427,45.04690552,-93.4265976,Minnesota
428,27.94439697,-82.41899872,Florida
429,40.0697937,-85.98169708,Indiana
430,36.79679871,-76.17669678,Virginia
431,41.18359375,-96.61949921,Nebraska
432,38.70120239,-90.36699677,Missouri
433,36.11470032,-79.74220276,North Carolina
434,39.73919678,-104.9847031,Colorado
435,40.67359924,-104.9433975,Colorado
436,36.16589355,-86.78440094,Tennessee
437,26.24360657,-80.26560211,Florida
438,39.26919556,-94.38909912,Missouri
439,33.34620667,-111.8153,Arizona
440,29.707901,-95.40100098,Texas
441,36.06069946,-95.80639648,Oklahoma
442,28.68119812,-81.27629852,Florida
443,29.58779907,-95.22409821,Texas
444,42.27760315,-83.74089813,Michigan
445,26.84509277,-81.44380188,Florida
446,43.42660522,-87.87319946,Wisconsin
447,32.86729431,-97.24859619,Texas
448,27.95469666,-80.69660187,Florida
449,26.37109375,-81.77330017,Florida
450,30.80239868,-84.07039642,Georgia
451,39.623703,-104.8738022,Colorado
452,40.63909912,-73.89859772,New York
453,30.20579529,-97.80020142,Texas
454,32.5171051,-90.13670349,Mississippi
455,27.94749451,-81.92040253,Florida
456,40.65089417,-74.21649933,New Jersey
457,39.71870422,-75.62159729,Delaware
458,33.15649414,-117.1707001,California
459,40.69830322,-73.88800049,New York
460,33.94729614,-117.7288971,California
461,43.05079651,-88.0381012,Wisconsin
462,33.83120728,-117.8672943,California
463,32.91870117,-96.1140976,Texas
464,32.7881012,-96.94309998,Texas
465,45.57739258,-122.6208038,Oregon
466,29.48890686,-98.3986969,Texas
467,29.92709351,-90.09729767,Louisiana
468,35.29359436,-80.73500061,North Carolina
469,38.54949951,-90.37960052,Missouri
470,38.35099792,-75.54460144,Maryland
471,27.94749451,-82.45839691,Florida
472,39.28759766,-76.59210205,Maryland
473,42.55070496,-90.69309998,Iowa
474,42.40150452,-76.35160065,New York
475,41.84829712,-87.65170288,Illinois
476,42.50509644,-71.20469666,Massachusetts
477,41.37890625,-74.36370087,New York
478,36.38909912,-82.45110321,Tennessee
479,42.11300659,-87.98069763,Illinois
480,35.98939514,-79.50469971,North Carolina
481,32.77870178,-96.82170105,Texas
482,35.71740723,-86.89260101,Tennessee
483,33.78849792,-117.8694992,California
484,19.71080017,-155.8739929,Hawaii
485,41.23240662,-95.87619781,Iowa
486,40.86480713,-73.88670349,New York
487,30.80239868,-84.07039642,Georgia
488,28.56629944,-81.26080322,Florida
489,33.94099426,-83.43409729,Georgia
490,35.16130066,-101.8789978,Texas
491,34.13299561,-84.30049896,Georgia
492,33.98460388,-83.69779968,Georgia
493,41.91369629,-90.27110291,Iowa
494,42.42790222,-83.14360046,Michigan
495,40.80430603,-74.01210022,New Jersey
496,45.47410583,-122.3787003,Oregon
497,40.90640259,-73.13189697,New York
498,40.88890076,-74.01190186,New Jersey
499,38.85220337,-97.61419678,Kansas
500,33.75680542,-90.72969818,Mississippi
